(0, 13, 85, 77, 27, 52, 48)
(1, 65, 79, 11, 5, 85, 46)
(2, 76, 1, 46, 73, 26, 95)
(3, 91, 4, 4, 56, 95, 41)
(4, 21, 43, 4, 24, 46, 52)
(5, 23, 24, 23, 48, 32, 7)
(6, 84, 56, 65, 21, 100, 87)
(7, 12, 34, 73, 72, 94, 45)
(8, 83, 68, 32, 60, 89, 86)
(9, 51, 59, 5, 26, 81, 44)
(10, 17, 55, 71, 69, 40, 47)
(11, 51, 78, 53, 41, 51, 7)
(12, 4, 71, 99, 61, 42, 21)
(13, 50, 99, 78, 55, 87, 27)
(14, 51, 96, 59, 47, 30, 57)
(15, 96, 1, 79, 83, 89, 76)
(16, 81, 52, 57, 44, 9, 88)
(17, 57, 20, 51, 50, 38, 38)
(18, 54, 63, 62, 47, 6, 27)
(19, 17, 59, 87, 81, 81, 83)
(20, 25, 85, 68, 11, 5, 6)
(21, 76, 25, 12, 64, 37, 11)
(22, 16, 53, 18, 29, 73, 48)
(23, 32, 48, 4, 40, 44, 23)
(24, 10, 90, 52, 23, 62, 83)
(25, 2, 2, 16, 73, 19, 72)
(26, 68, 55, 23, 98, 81, 54)
(27, 22, 65, 41, 59, 35, 65)
(28, 5, 30, 97, 88, 33, 87)
(29, 31, 94, 75, 43, 28, 5)
(30, 88, 4, 83, 97, 59, 21)
(31, 87, 98, 71, 52, 40, 38)
(32, 20, 68, 44, 22, 14, 68)
(33, 29, 50, 34, 88, 91, 6)
(34, 20, 33, 99, 79, 36, 25)
(35, 68, 84, 94, 36, 89, 70)
(36, 48, 99, 25, 74, 12, 21)
(37, 92, 22, 77, 61, 85, 40)
(38, 34, 30, 87, 62, 96, 90)
(39, 13, 56, 12, 6, 11, 88)
(40, 79, 83, 35, 63, 79, 41)
(41, 57, 23, 10, 29, 90, 59)
(42, 93, 46, 29, 80, 84, 6)
(43, 67, 10, 13, 89, 7, 28)
(44, 99, 43, 13, 19, 27, 76)
(45, 10, 92, 39, 98, 92, 33)
(46, 25, 48, 11, 66, 7, 6)
(47, 99, 30, 61, 47, 34, 11)
(48, 92, 97, 98, 13, 24, 64)
(49, 98, 55, 70, 67, 29, 56)
(50, 31, 25, 10, 30, 99, 47)
(51, 65, 65, 95, 41, 33, 36)
(52, 31, 85, 90, 32, 36, 57)
(53, 58, 60, 26, 4, 27, 11)
(54, 55, 8, 9, 65, 32, 81)
(55, 49, 87, 17, 52, 81, 12)
(56, 95, 18, 78, 99, 83, 35)
(57, 10, 52, 93, 31, 90, 18)
(58, 91, 4, 33, 91, 81, 92)
(59, 84, 75, 70, 20, 45, 20)
(60, 72, 67, 27, 9, 97, 82)
(61, 55, 55, 86, 47, 42, 37)
(62, 26, 3, 65, 43, 59, 10)
(63, 35, 14, 14, 28, 84, 43)
(64, 40, 62, 25, 3, 55, 53)
(65, 65, 44, 69, 74, 27, 52)
